Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,280.500000,281.459991,275.519989,276.380005,275.777130,26840200
2023-03-28,275.790009,276.140015,272.049988,275.230011,274.629669,21878600
2023-03-29,278.959991,281.140015,278.410004,280.510010,279.898132,25087000
2023-03-30,284.230011,284.459991,281.480011,284.049988,283.430389,25053400
2023-03-31,283.730011,289.269989,283.000000,288.299988,287.671112,32766000
2023-04-03,286.519989,288.269989,283.950012,287.230011,286.603485,24883300
2023-04-04,287.230011,290.450012,285.670013,287.179993,286.553558,25824300
2023-04-05,285.850006,287.149994,282.920013,284.339996,283.719757,22064800
2023-04-06,283.209991,292.079987,282.029999,291.600006,290.963928,29770300
2023-04-10,289.209991,289.600006,284.709991,289.390015,288.758759,23103000
2023-04-11,285.750000,285.980011,281.640015,282.829987,282.213043,27276600
2023-04-12,284.790009,287.010010,281.959991,283.489990,282.871613,27403400
2023-04-13,283.589996,289.899994,283.170013,289.839996,289.207764,24222700
2023-04-14,287.000000,288.480011,283.690002,286.140015,285.515869,20987900
2023-04-17,289.929993,291.600006,286.160004,288.799988,288.170044,23836200
2023-04-18,291.570007,291.760010,287.010010,288.369995,287.740967,20161800
2023-04-19,285.989990,289.049988,284.540009,288.450012,287.820831,17150300
2023-04-20,285.250000,289.029999,285.079987,286.109985,285.485901,23244400
2023-04-21,285.010010,286.269989,283.059998,285.760010,285.136688,21676400
2023-04-24,282.089996,284.950012,278.720001,281.769989,281.155365,26611000
2023-04-25,279.510010,281.600006,275.369995,275.420013,274.819244,45772200
2023-04-26,296.700012,299.570007,292.730011,295.369995,294.725708,64599200
2023-04-27,295.970001,305.200012,295.250000,304.829987,304.165070,46462600
2023-04-28,304.010010,308.929993,303.309998,307.260010,306.589783,36446700
2023-05-01,306.970001,308.600006,305.149994,305.559998,304.893494,21294100
2023-05-02,307.760010,309.179993,303.910004,305.410004,304.743805,26404400
2023-05-03,306.619995,308.609985,304.089996,304.399994,303.736023,22360800
2023-05-04,306.239990,307.760010,303.399994,305.410004,304.743805,22519900
2023-05-05,305.720001,311.970001,304.269989,310.649994,309.972382,28181200
2023-05-08,310.130005,310.200012,306.089996,308.649994,307.976746,21318600
2023-05-09,308.000000,310.040009,306.309998,307.000000,306.330353,21340800
2023-05-10,308.619995,313.000000,307.670013,312.309998,311.628754,30078000
2023-05-11,310.100006,311.119995,306.260010,310.109985,309.433533,31680200
2023-05-12,310.549988,310.649994,306.600006,308.970001,308.296051,19758100
2023-05-15,309.100006,309.899994,307.589996,309.459991,308.784973,16336500
2023-05-16,309.829987,313.709991,309.829987,311.739990,311.059998,26730300
2023-05-17,312.290009,314.429993,310.739990,314.000000,314.000000,24315000
2023-05-18,314.529999,319.040009,313.720001,318.519989,318.519989,27276000
2023-05-19,316.739990,318.750000,316.369995,318.339996,318.339996,27529500
2023-05-22,318.600006,322.589996,318.010010,321.179993,321.179993,24115700
2023-05-23,320.029999,322.720001,315.250000,315.260010,315.260010,30797200
2023-05-24,314.730011,316.500000,312.609985,313.850006,313.850006,23384900
2023-05-25,323.239990,326.899994,320.000000,325.920013,325.920013,43301700
2023-05-26,324.019989,333.399994,323.880005,332.890015,332.890015,36630600
2023-05-30,335.230011,335.739990,330.519989,331.209991,331.209991,29503100
2023-05-31,332.290009,335.940002,327.329987,328.390015,328.390015,45950600
2023-06-01,325.929993,333.529999,324.720001,332.579987,332.579987,26773900
2023-06-02,334.250000,337.500000,332.549988,335.399994,335.399994,25864000
2023-06-05,335.220001,338.559998,334.660004,335.940002,335.940002,21307100
2023-06-06,335.329987,335.369995,332.170013,333.679993,333.679993,20396200
2023-06-07,331.649994,334.489990,322.500000,323.380005,323.380005,40717100
2023-06-08,323.940002,326.640015,323.350006,325.260010,325.260010,23277700
2023-06-09,324.989990,329.989990,324.410004,326.790009,326.790009,22514900
2023-06-12,328.579987,332.100006,325.160004,331.850006,331.850006,24260300
2023-06-13,334.470001,336.980011,330.390015,334.290009,334.290009,22951300
2023-06-14,334.339996,339.040009,332.809998,337.339996,337.339996,26003800
2023-06-15,337.480011,349.839996,337.200012,348.100006,348.100006,38899100
2023-06-16,351.320007,351.470001,341.950012,342.329987,342.329987,46533600
2023-06-20,339.309998,342.079987,335.859985,338.049988,338.049988,26375400
2023-06-21,336.369995,337.730011,332.070007,333.559998,333.559998,25117800
2023-06-22,334.119995,340.119995,333.339996,339.709991,339.709991,23556800
2023-06-23,334.359985,337.959991,333.450012,335.019989,335.019989,23084700
2023-06-26,333.720001,336.109985,328.489990,328.600006,328.600006,21520600
